2025-09-20 09:58:45,920 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=84), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:45,923 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15957), requested parent node NumericNodeId(i=11715) does not exists
2025-09-20 09:58:45,925 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15958), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,957 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15959), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,958 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15960), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,958 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15961), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,959 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15962), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,959 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15963), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,960 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=15964), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,960 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=16134), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,961 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=16135), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:45,962 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=16136), requested parent node NumericNodeId(i=15957) does not exists
2025-09-20 09:58:46,083 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=16314), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,286 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11214), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,289 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11202), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,290 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11215), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,298 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2341), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,299 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2342), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,300 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2343), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,300 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11285), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,301 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2344), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,302 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11304), requested parent node is null TwoByteNodeId(i=0) True
2025-09-20 09:58:46,302 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2346), requested parent node is null TwoByteNodeId(i=0) True
